Web host, Storage size, Max. file size, Traffic or bandwidth limit, Remote uploading?, Developer API?, FTP upload possible?, File versioning, Follows symlinks, Client-side encryption[1], Free GB (number only), Append-only support? [2], Lifecycle Policy support?, Misc. notes
Amazon Drive[3], {{some|}}{{nts|5}} GB 3 mo. free trial  up to 30 TB paid, {{rarely|2 GB upload via Web  50 GB per file via Drive app and third party clients [4]}}, {{rarely|}}Amazon S3 limits, {{no}}, {{yes}}, {{no}}, {{no}}, ?, ?, {{some|5}}, , , Free 5GB for everybody  except Mexico and China.
Amazon S3[5], {{some|}}{{nts|5}} GB 12-month free trial with credit-card  (paid bandwidth)  unlimited paid, {{rarely|}}{{nts|5}} GB per file  unlimited files per bucket, {{rarely|}}Amazon S3 limits, {{no}}, {{yes|}}REST  SOAP, ?, {{yes}}, ?, ?, {{nonfree|0}}, , , {{n/a}}
Baidu Cloud, {{rarely|}}{{nts|2}} TB (6 GB free)[6], {{rarely|}}4 GB free  20 GB paid [7], {{yes|None}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, ?, {{free|6}}, , , Currently in China only
Backblaze B2, {{yes|10 GB free  unlimited paid}}[8], ?, ?, ?, {{yes}}, ?, {{yes}}, ?, ?, {{free|10}}, {{some|fileWrite allows existing files to become "hidden"  which may get deleted with lifecycle rule daysFromHidingToDeleting}}, {{yes}}, 
BorgBase, {{yes|5 GB free  unlimited paid}}[9], ?, ?, ?, {{yes}}, ?, ?, ?, ?, {{free|5}}, {{yes}}, ?, 
Box[10][11], {{some|}}free trial  100 GB paid (Starter)  Unlimited Business  Unlimited Enterprise[12], {{rarely|}}250 MB free Personal  5 GB paid Personal  5 GB Business  5 GB Enterprise[12], {{some|}}10 GB/month free  2 TB/month paid[13], {{some|}} 30 MB per file via IFTTT[14], {{yes}}[15], {{some|}} Business and Enterprise customers only[16], {{some}} (premium)[17], {{no}}, ?, {{free|10}}, , , Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13
CloudMe[18], {{rarely|}}{{nts|3}} GB free  +500 MB for referrals up to 16 GB  500 GB paid[19], {{some|}}{{nts|150}} MB free  Unlimited premium, {{yes|None}}, {{no}} [20], {{yes|}} REST  SOAP  WebDAV[21], {{no}}[22], {{rarely}} (60 days)[23], ?, ?, {{free|3}}, , , Primarily focused on media files  synchronization and backup with web sharing.
Dropbox[24], {{some|}}{{nts|2}} GB free  +500 MB for referrals up to 18 GB; 1 TB  2 TB  or unlimited paid[25], {{some|}}{{nts|10}} GB  Unlimited using client application, {{rarely|}}20 GB/day free  200 GB/day paid[26], {{no}}, {{Yes}}, {{No}}[27], {{rarely|}} 30 days by default  1 year w/ add-on[28], {{yes}}, {{no}}, {{free|2}}, , , Synchronization  backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5  100 GB free with Samsung device
Google Drive[29][30], {{some|}}{{nts|15}} GB free [31] {{nts|100}} GB to {{nts|30}} TB paid;[32][33] Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users), {{rarely|}}{{nts|5}} TB[34], {{rarely|download: web client 750 MB/hour 1250 MB/day upload: 300 MB/hour 750 MB/day download from IMAP: 2500 MB download POP: 1250 MB Upload IMAP: 500 MB}}[35], {{no}}, {{yes|}}OAuth2, {{no}}, {{yes}}[36], {{no}}, {{no}}, {{free|15}}, , , Additional space for limited time period with some devices and services.[37][38][39][40]
IBM Connections Files Cloud, {{rarely|}}{{nts|1}} TB paid (60-day free trial)[41], {{rarely|}}{{nts|2}} GB, {{yes|None}}, {{no}}, {{yes|}}CMIS  REST  Atom (standard) and OAuth2, {{no}}, {{yes}}, ?, ?, {{free|5}}, , , Subscription costs US$6/year[42]
Apple iCloud[43], {{rarely|}} {{nts|5}} GB free  {{nts|50}} GB to {{nts|2}} TB paid, {{rarely|}}{{nts|50}} GB, {{rarely|}}200/400/600 GB per month, {{no}}, {{Yes}}, No, {{rarely|Partly}}, {{no}}, ?, {{free|5}}, , , {{nts|25}} GB for previous MobileMe account subscriptions[44]
