Feature, Android, iOS, Windows 10 Mobile, BlackBerry 10, Tizen, Sailfish OS, Ubuntu Touch, Plasma Mobile, PureOS, PostmarketOS, KaiOS
Developed by, Google  Open Handset Alliance, Apple Inc., Microsoft, BlackBerry Ltd., Linux Foundation  Tizen Association  Samsung  Intel, Sailfish Alliance  Mer  Jolla and Sailfish community contributors, UBports and Ubuntu community contributors (previously Canonical Ltd.), KDE and Blue Systems, Purism, PostmarketOS community, KaiOS Technologies Inc.  Google[1][2]
Market share[3], 86.1%, 13.7%, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, N/A, ?
Current version, 10, 13.2, 10.0.15254.552, 10.3.3.3216, 4.0.0.4, 3.2.1.20, 16.04 OTA-11, 5.16.4, 9.0, alpha, 2.6.0, 
Development version, Android 10, 13.1 Developer Beta 4, Unknown, Unknown, 5.5 M1, Unknown, Unknown, Unknown, Unknown, N/A, 
Current version release dates, September 3  2019; 4 months ago (2019-09-03), September 19  2019; 3 months ago (2019-09-19), February 12  2019; 11 months ago (2019-02-12)[4][5][6], April 4  2018; 21 months ago (2018-04-04), November 16  2018; 13 months ago (2018-11-16), December 18  2019; 26 days ago (2019-12-18)[7], October 23  2019; 2 months ago (2019-10-23)[8], July 30  2019; 5 months ago (2019-07-30)[9], 26 September 2019; 3 months ago (2019-09-26)[10], , 
License, Base system is Free and open-source  but usually bundled with proprietary apps and drivers  which provide an increasing amount of the functionality.[11], Proprietary, Proprietary except for open source components, Proprietary  Commercial software, Partial; both proprietary and open-source components  assorted licenses, Free and open-source  but the UI and the SDK are proprietary and closed source, Free and open-source  mainly the GPL[12], Free and open-source  mainly the GPL, Free and open-source  mainly the GPL, Free and open-source  GPL, Proprietary except for open source kernel patches (formerly the MPL 2.0 B2G OS)
OS family, Linux kernel based, Darwin, Microsoft Windows, QNX, Linux, Linux, Linux, Linux, Linux (based on Debian), Linux (based on Alpine Linux), Unix-based
Supported CPU architecture, ARM (32-bit ARMv7-A and 64-bit ARMv8-A only)  x86  x86-64[13], 64-bit ARMv8-A only, 32-bit ARMv7-A and 32-bit ARMv8-A, ARM, ARM  x86  x86-64, ARM  x86-64, ARM  x86-64, ARM  ?, Convergence operating system, ARM  ARM64  x86  x86-64, ARM
Programmed in, C  C++  Java  Kotlin, C  C++  Objective-C  Swift, 7+: XNA (.NET C#)  Silverlight  native C/C++ (only for vendors and partners[14]) 8+: .NET C#  VB.NET  Silverlight  native C/C++  WinRTP (XMLA)  DirectX, C/ C++: Native SDK  C++/Qt: Cascades SDK  HTML5/Javascript/CSS: Webworks SDK  ActionScript: Adobe AIR  Java: Android runtime, C++  Xamarin.Forms (.NET C#  F#  VB[15]), C++  QML  Python, Apps: HTML5  QML  Go  JavaScript  C++ System: C  C++  QML, C++  QML, , Python install tool and shell script packages, 
Public issues list, Yes[16], 3rd party[17], No[18], Yes[19], Yes[20], Yes[21], Yes[22], Yes[23], Yes[24], Yes[25], No[citation needed]
DRM-free[26], No[27] since Android 4.1[28] and Android 4.3[29] and more restrictions on Android 4.4[30], No – FairPlay, No, No[31], Yes, Yes, Yes, Yes[citation needed], Yes[citation needed], Yes, ?
Device independent system updates, Partial system updates since Oreo[32] 3rd party software like LineageOS[33], Yes[34], Partial on Enterprice edition. Only for developers, No, No, Yes, Yes[35], , , Yes.[36] Intended for use on old mobile devices, For feature phones  not smart phones
Wireless system updates, Yes, 5+[37], 8+[38], Yes[39], No, Yes, Yes, , , , 
GPU accelerated GUI, 3+[40], Yes, Yes[41], Yes  OS 7.0+, ?, Yes, Yes, , , , 
Feature, Android, iOS, Windows 10 Mobile, BlackBerry 10, Tizen, Sailfish OS, Ubuntu Touch, Plasma Mobile, PureOS, PostmarketOS, KaiOS
